# vis: 7m.ms
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw corr obs
# U V None None None None None None None MJD(seconds) GHz None None None
11.2466 -1.10934 0 1 0 0 1 N601@N601 N602@N602 5045031631.763 115.000000000 0 XX 0
9.27822 43.6877 0 1 0 0 2 N601@N601 N604@N604 5045031631.763 115.000000000 0 YY 0
-5.79778 33.1694 0 1 0 0 3 N601@N601 N606@N606 5045031631.763 115.000000000 0 XX 0
6.35468 15.45 0 1 0 0 4 N601@N601 J501@J501 5045031631.763 115.000000000 0 YY 0
12.1391 21.4632 0 1 0 0 5 N601@N601 J502@J502 5045031631.763 115.000000000 0 XX 0
16.7515 29.081 0 1 0 0 6 N601@N601 J506@J506 5045031631.763 115.000000000 0 YY 0
4.98642 24.8771 0 1 0 0 7 N601@N601 J503@J503 5045031631.763 115.000000000 0 XX 0
-4.75879 16.6649 0 1 0 0 8 N601@N601 J504@J504 5045031631.763 115.000000000 0 YY 0
21.6851 16.263 0 1 0 0 9 N601@N601 J505@J505 5045031631.763 115.000000000 0 XX 0
-1.96836 44.7971 0 1 0 1 2 N602@N602 N604@N604 5045031631.763 115.000000000 0 YY 0
-17.0444 34.2787 0 1 0 1 3 N602@N602 N606@N606 5045031631.763 115.000000000 0 XX 0
-4.8919 16.5594 0 1 0 1 4 N602@N602 J501@J501 5045031631.763 115.000000000 0 YY 0
0.892517 22.5726 0 1 0 1 5 N602@N602 J502@J502 5045031631.763 115.000000000 0 XX 0
5.50489 30.1903 0 1 0 1 6 N602@N602 J506@J506 5045031631.763 115.000000000 0 YY 0
-6.26016 25.9865 0 1 0 1 7 N602@N602 J503@J503 5045031631.763 115.000000000 0 XX 0
-16.0054 17.7743 0 1 0 1 8 N602@N602 J504@J504 5045031631.763 115.000000000 0 YY 0
10.4385 17.3723 0 1 0 1 9 N602@N602 J505@J505 5045031631.763 115.000000000 0 XX 0
-15.076 -10.5184 0 1 0 2 3 N604@N604 N606@N606 5045031631.763 115.000000000 0 YY 0
-2.92354 -28.2377 0 1 0 2 4 N604@N604 J501@J501 5045031631.763 115.000000000 0 XX 0
2.86088 -22.2245 0 1 0 2 5 N604@N604 J502@J502 5045031631.763 115.000000000 0 YY 0
7.47326 -14.6067 0 1 0 2 6 N604@N604 J506@J506 5045031631.763 115.000000000 0 XX 0
-4.2918 -18.8106 0 1 0 2 7 N604@N604 J503@J503 5045031631.763 115.000000000 0 YY 0
-14.037 -27.0228 0 1 0 2 8 N604@N604 J504@J504 5045031631.763 115.000000000 0 XX 0
12.4068 -27.4247 0 1 0 2 9 N604@N604 J505@J505 5045031631.763 115.000000000 0 YY 0
12.1525 -17.7194 0 1 0 3 4 N606@N606 J501@J501 5045031631.763 115.000000000 0 XX 0
17.9369 -11.7061 0 1 0 3 5 N606@N606 J502@J502 5045031631.763 115.000000000 0 YY 0
22.5493 -4.08835 0 1 0 3 6 N606@N606 J506@J506 5045031631.763 115.000000000 0 XX 0
10.7842 -8.29223 0 1 0 3 7 N606@N606 J503@J503 5045031631.763 115.000000000 0 YY 0
1.039 -16.5044 0 1 0 3 8 N606@N606 J504@J504 5045031631.763 115.000000000 0 XX 0
27.4828 -16.9064 0 1 0 3 9 N606@N606 J505@J505 5045031631.763 115.000000000 0 YY 0
5.78441 6.01321 0 1 0 4 5 J501@J501 J502@J502 5045031631.763 115.000000000 0 XX 0
10.3968 13.631 0 1 0 4 6 J501@J501 J506@J506 5045031631.763 115.000000000 0 YY 0
-1.36826 9.42712 0 1 0 4 7 J501@J501 J503@J503 5045031631.763 115.000000000 0 XX 0
-11.1135 1.21494 0 1 0 4 8 J501@J501 J504@J504 5045031631.763 115.000000000 0 YY 0
15.3304 0.812982 0 1 0 4 9 J501@J501 J505@J505 5045031631.763 115.000000000 0 XX 0
4.61238 7.61779 0 1 0 5 6 J502@J502 J506@J506 5045031631.763 115.000000000 0 YY 0
-7.15267 3.41391 0 1 0 5 7 J502@J502 J503@J503 5045031631.763 115.000000000 0 XX 0
-16.8979 -4.79827 0 1 0 5 8 J502@J502 J504@J504 5045031631.763 115.000000000 0 YY 0
9.54596 -5.20023 0 1 0 5 9 J502@J502 J505@J505 5045031631.763 115.000000000 0 XX 0
-11.7651 -4.20388 0 1 0 6 7 J506@J506 J503@J503 5045031631.763 115.000000000 0 YY 0
-21.5103 -12.4161 0 1 0 6 8 J506@J506 J504@J504 5045031631.763 115.000000000 0 XX 0
4.93358 -12.818 0 1 0 6 9 J506@J506 J505@J505 5045031631.763 115.000000000 0 YY 0
-9.74521 -8.21218 0 1 0 7 8 J503@J503 J504@J504 5045031631.763 115.000000000 0 XX 0
16.6986 -8.61414 0 1 0 7 9 J503@J503 J505@J505 5045031631.763 115.000000000 0 YY 0
26.4438 -0.401955 0 1 0 8 9 J504@J504 J505@J505 5045031631.763 115.000000000 0 XX 0
11.2569 -1.12047 0 2 1 0 1 N601@N601 N602@N602 5045031661.763 115.000000000 0 XX 0
9.32681 43.6785 0 2 1 0 2 N601@N601 N604@N604 5045031661.763 115.000000000 0 YY 0
-5.77386 33.1751 0 2 1 0 3 N601@N601 N606@N606 5045031661.763 115.000000000 0 XX 0
6.37496 15.4437 0 2 1 0 4 N601@N601 J501@J501 5045031661.763 115.000000000 0 YY 0
12.1706 21.4512 0 2 1 0 5 N601@N601 J502@J502 5045031661.763 115.000000000 0 XX 0
16.7945 29.0644 0 2 1 0 6 N601@N601 J506@J506 5045031661.763 115.000000000 0 YY 0
5.0138 24.8722 0 2 1 0 7 N601@N601 J503@J503 5045031661.763 115.000000000 0 XX 0
-4.74863 16.6696 0 2 1 0 8 N601@N601 J504@J504 5045031661.763 115.000000000 0 YY 0
21.7215 16.2415 0 2 1 0 9 N601@N601 J505@J505 5045031661.763 115.000000000 0 XX 0
-1.9301 44.799 0 2 1 1 2 N602@N602 N604@N604 5045031661.763 115.000000000 0 YY 0
-17.0308 34.2956 0 2 1 1 3 N602@N602 N606@N606 5045031661.763 115.000000000 0 XX 0
-4.88195 16.5642 0 2 1 1 4 N602@N602 J501@J501 5045031661.763 115.000000000 0 YY 0
0.913705 22.5717 0 2 1 1 5 N602@N602 J502@J502 5045031661.763 115.000000000 0 XX 0
5.53757 30.1849 0 2 1 1 6 N602@N602 J506@J506 5045031661.763 115.000000000 0 YY 0
-6.24311 25.9927 0 2 1 1 7 N602@N602 J503@J503 5045031661.763 115.000000000 0 XX 0
-16.0055 17.7901 0 2 1 1 8 N602@N602 J504@J504 5045031661.763 115.000000000 0 YY 0
10.4646 17.362 0 2 1 1 9 N602@N602 J505@J505 5045031661.763 115.000000000 0 XX 0
-15.1007 -10.5034 0 2 1 2 3 N604@N604 N606@N606 5045031661.763 115.000000000 0 YY 0
-2.95186 -28.2348 0 2 1 2 4 N604@N604 J501@J501 5045031661.763 115.000000000 0 XX 0
2.8438 -22.2273 0 2 1 2 5 N604@N604 J502@J502 5045031661.763 115.000000000 0 YY 0
7.46767 -14.6141 0 2 1 2 6 N604@N604 J506@J506 5045031661.763 115.000000000 0 XX 0
-4.31302 -18.8063 0 2 1 2 7 N604@N604 J503@J503 5045031661.763 115.000000000 0 YY 0
